domain,condition,conversation_id,mean_abs_delta,flip_rate,oscillation_index
photoshop,anchored,photoshop_anchored_000,0.9844356056155522,1.0,1.9688712112311044
photoshop,anchored,photoshop_anchored_001,0.297647303409384,0.5,0.446470955114076
photoshop,anchored,photoshop_anchored_002,1.036182868468809,1.0,2.072365736937618
photoshop,anchored,photoshop_anchored_003,0.3086824882654165,0.5,0.4630237323981248
photoshop,anchored,photoshop_anchored_004,0.8780156613425384,1.0,1.7560313226850768
photoshop,anchored,photoshop_anchored_005,0.4243685101113099,0.0,0.4243685101113099
photoshop,anchored,photoshop_anchored_006,0.8401358102473147,0.5,1.260203715370972
photoshop,anchored,photoshop_anchored_007,0.38682501755202353,0.0,0.38682501755202353
photoshop,anchored,photoshop_anchored_008,1.4435276763380898,0.5,2.1652915145071345
photoshop,anchored,photoshop_anchored_009,0.7600989239899109,0.5,1.1401483859848662
photoshop,consistent_basic,photoshop_consistent_basic_000,2.8381459423810624,0.5,4.257218913571593
photoshop,consistent_basic,photoshop_consistent_basic_001,1.0990482489167306,1.0,2.198096497833461
photoshop,consistent_basic,photoshop_consistent_basic_002,1.1150898084818053,0.5,1.672634712722708
photoshop,consistent_basic,photoshop_consistent_basic_003,1.6595420646485362,0.0,1.6595420646485362
photoshop,consistent_basic,photoshop_consistent_basic_004,1.963050780415939,0.0,1.963050780415939
photoshop,consistent_basic,photoshop_consistent_basic_005,0.3095180765567571,1.0,0.6190361531135142
photoshop,consistent_basic,photoshop_consistent_basic_006,0.16452845619617174,0.5,0.2467926842942576
photoshop,consistent_basic,photoshop_consistent_basic_007,2.9244442045485393,1.0,5.8488884090970785
photoshop,consistent_basic,photoshop_consistent_basic_008,1.3558644171585985,1.0,2.711728834317197
photoshop,consistent_basic,photoshop_consistent_basic_009,1.2263219284002782,0.5,1.8394828926004174
photoshop,consistent_technical,photoshop_consistent_technical_000,1.468647040444101,0.5,2.2029705606661514
photoshop,consistent_technical,photoshop_consistent_technical_001,0.540798706781603,0.5,0.8111980601724045
photoshop,consistent_technical,photoshop_consistent_technical_002,1.1788927221887837,0.5,1.7683390832831756
photoshop,consistent_technical,photoshop_consistent_technical_003,0.15663985643363856,0.5,0.23495978465045786
photoshop,consistent_technical,photoshop_consistent_technical_004,0.5505060997554809,0.0,0.5505060997554809
photoshop,consistent_technical,photoshop_consistent_technical_005,0.45732814178597314,1.0,0.9146562835719463
photoshop,consistent_technical,photoshop_consistent_technical_006,0.21566870548502703,0.0,0.21566870548502703
photoshop,consistent_technical,photoshop_consistent_technical_007,0.4062552115875529,0.5,0.6093828173813294
photoshop,consistent_technical,photoshop_consistent_technical_008,0.5198433535938263,0.5,0.7797650303907394
photoshop,consistent_technical,photoshop_consistent_technical_009,0.39571053451979504,0.0,0.39571053451979504
photoshop,oscillatory,photoshop_oscillatory_000,3.4435329056142696,1.0,6.887065811228539
photoshop,oscillatory,photoshop_oscillatory_001,0.34661783912193284,0.5,0.5199267586828993
