domain,condition,conversation_id,technicality_mean,technicality_std,technicality_range,mean_abs_delta,flip_rate,oscillation_index,gain_mean,gain_pos_rate
photoshop,anchored,photoshop_anchored_000,-0.5093466718774915,0.6801271564234056,2.1106395159614344,0.6983969045944072,0.6,1.1174350473510515,-0.5659325887792443,0.16666666666666666
photoshop,anchored,photoshop_anchored_001,0.5021100103371818,0.6078023319807099,1.850597843769504,0.4832569897068013,0.4,0.6765597855895218,0.259939940518993,0.3333333333333333
photoshop,anchored,photoshop_anchored_002,-4.9526190947261854,0.5377939748317039,1.7219418770219783,0.5245477960875543,0.8,0.9441860329575977,0.41359558907607324,0.6666666666666666
photoshop,anchored,photoshop_anchored_003,-1.2700114727382523,0.20863955293447994,0.7088113334268934,0.23996316039773058,0.6,0.38394105663636896,-0.055684978201032076,0.3333333333333333
photoshop,anchored,photoshop_anchored_004,-1.0314400889164392,0.42126688379366606,1.3167360353964752,0.6231800279663154,1.0,1.2463600559326309,0.12393342144096686,0.3333333333333333
photoshop,anchored,photoshop_anchored_005,0.17893217576820422,0.49315164989830423,1.5353428359251455,0.5065936112147255,0.4,0.7092310557006156,-0.1938251399103169,0.3333333333333333
photoshop,anchored,photoshop_anchored_006,2.4524836835814305,0.9146722619236305,2.631298353539218,0.46227063689960796,0.6,0.7396330190393727,0.03167325348125436,0.3333333333333333
photoshop,anchored,photoshop_anchored_007,0.5988885465311783,0.3512743394417929,1.043738887993873,0.1976692564789965,0.2,0.23720310777479578,-0.12231488963746683,0.3333333333333333
photoshop,anchored,photoshop_anchored_008,-3.699796704508895,1.2662785150720919,3.783687648568646,0.7595435406673773,0.8,1.3671783732012792,0.4278445096270879,0.16666666666666666
photoshop,anchored,photoshop_anchored_009,2.103347145909371,0.5834501458550715,1.8876091125731582,0.49189567046472665,0.8,0.885412206836508,0.06832169409706974,0.16666666666666666
photoshop,anchored,photoshop_anchored_010,0.3322173645801064,0.508626631799503,1.6431932153128452,0.3197791952150404,0.2,0.38373503425804845,-0.27108732398016727,0.3333333333333333
photoshop,anchored,photoshop_anchored_011,-1.132062923594897,0.2827678669941471,0.9271141537973362,0.3003978270551247,0.8,0.5407160886992245,-0.2424395940580836,0.16666666666666666
photoshop,anchored,photoshop_anchored_012,1.7265061213829473,0.5517814015968445,1.6228760184109206,0.3858298275516667,0.8,0.6944936895930002,-0.2956070710606131,0.5
photoshop,anchored,photoshop_anchored_013,-4.039277174417372,1.1903580032199432,3.6289331001764933,0.7719711478985097,0.8,1.3895480662173176,0.04568736781005511,0.16666666666666666
photoshop,anchored,photoshop_anchored_014,0.1971732854894621,0.6023589675867957,1.3689098932304162,0.3532549248424119,0.8,0.6358588647163415,-0.26780637869308416,0.3333333333333333
photoshop,anchored,photoshop_anchored_015,0.06529867140288163,0.41650242683576144,1.1897068165302005,0.38824747025881434,0.6,0.621195952414103,-0.22071162418405246,0.16666666666666666
photoshop,anchored,photoshop_anchored_016,-2.014292999637532,0.17432513415468914,0.45343751896577933,0.26388544237553896,1.0,0.5277708847510779,-0.26388544237553896,0.0
photoshop,anchored,photoshop_anchored_017,-5.713389990366237,0.515587088599428,1.7007460073730085,0.36996774939441623,0.6,0.591948399031066,-0.16944118112254167,0.3333333333333333
photoshop,anchored,photoshop_anchored_018,-2.784001105815825,0.9915400496712661,2.9660584549892883,0.6372111618072682,0.6,1.0195378588916293,0.3733836611915586,0.3333333333333333
photoshop,anchored,photoshop_anchored_019,-3.02369090514506,0.5696678737521478,1.6578052552415388,0.34956406481454755,0.6,0.559302503703276,-0.01896870826548865,0.3333333333333333
photoshop,anchored,photoshop_anchored_020,-0.9353821151199558,0.6415917030200997,2.0174835125744517,0.513251318599618,0.6,0.8212021097593889,0.3388070540763281,0.8333333333333334
photoshop,anchored,photoshop_anchored_021,2.0901495117479025,0.4210720237265942,1.3910019296842118,0.34544535172348684,0.6,0.552712562757579,0.20369524167695233,0.5
photoshop,anchored,photoshop_anchored_022,-3.420896645811623,0.20675945831940637,0.6268426884794485,0.270196889025587,0.8,0.4863544002460566,-0.1280604984792295,0.16666666666666666
photoshop,anchored,photoshop_anchored_023,-0.9945102005844844,0.6820875108415957,1.985043640344207,0.7618137485236538,1.0,1.5236274970473076,0.7618137485236538,1.0
photoshop,anchored,photoshop_anchored_024,-1.6009150922507358,0.2702797331228811,0.6529166217631888,0.14735122052858127,0.8,0.2652321969514463,-0.04185025173947269,0.3333333333333333
photoshop,anchored,photoshop_anchored_025,-4.889375859741375,1.0100896008966076,2.463647969780566,0.5379258548299114,0.8,0.9682665386938405,-0.5123945998775308,0.16666666666666666
photoshop,anchored,photoshop_anchored_026,0.016959903090914313,0.16474673968404385,0.40580545443132665,0.2333512170853149,0.6,0.37336194733650385,0.10112155875268851,0.6666666666666666
photoshop,anchored,photoshop_anchored_027,0.05014080454449583,0.8827536894557867,2.8425602977457745,0.6923649864602318,0.8,1.2462569756284172,0.18283441709483814,0.16666666666666666
photoshop,anchored,photoshop_anchored_028,-4.277416470748615,0.709230639012211,1.8303030057827545,0.430800885189345,0.8,0.7754415933408211,-0.3899382047299113,0.16666666666666666
photoshop,anchored,photoshop_anchored_029,-4.88606744301842,1.0769364725331356,3.1941066401778118,0.5911607282208965,0.8,1.0640893107976137,0.39030852646337094,0.16666666666666666
photoshop,anchored,photoshop_anchored_030,-0.7045562264184576,1.1339613406859184,2.988166593417464,0.6077244109731038,0.4,0.8508141753623453,-0.031045125415122683,0.3333333333333333
photoshop,anchored,photoshop_anchored_031,-2.5131493391520414,0.31126705207714284,0.8528545299801675,0.2495660158942327,0.8,0.44921882860961887,-0.0792576941414737,0.5
